Browns Point,47.3036,-122.4369,,0,0
Kennewick,46.1979,-119.1732,232915,0,232915
North Marysville,48.1112,-122.1459,,0,0
Beaver Valley,47.9259,-122.7302,,0,0
Ahtanum,46.5581,-120.6099,,0,0
Carbonado,47.0805,-122.0536,701,0,701
Hyak,47.3929,-121.3929,,0,0
Arlington Heights,48.2119,-122.0631,,0,0
North Sultan,47.8827,-121.8251,,0,0
Pullman,46.7342,-117.1661,33276,0,33276
Wymer,46.826,-120.4598,,0,0
Adelaide,47.3309,-122.3604,,0,0
Peaceful Valley,48.9477,-122.1406,,0,0
West Richland,46.3115,-119.3997,14596,0,14596
Fife Heights,47.2593,-122.3457,,0,0
Manson,47.8858,-120.1563,,0,0
Sprague,47.3048,-117.9713,441,0,441
Cosmopolis,46.9541,-123.7725,1624,0,1624
Redondo,47.3484,-122.3235,,0,0
Waller,47.2035,-122.3699,,0,0
Addy,48.3588,-117.8372,,0,0
Matlock,47.2379,-123.4079,,0,0
Longbranch,47.2257,-122.7739,,0,0
North Bonneville,45.6425,-121.9689,999,0,999
Pomeroy,46.4737,-117.5967,1388,0,1388
Colville,48.5454,-117.8986,5064,0,5064
Palmer,47.3143,-121.8923,,0,0
Skyway,47.4915,-122.2543,,0,0
Medina,47.6256,-122.2338,3267,0,3267
Algona,47.282,-122.2503,3185,0,3185
Nine Mile Falls,47.7757,-117.5461,,0,0
Black Diamond,47.313,-122.0181,4436,0,4436
Gold Bar,47.8566,-121.6927,2301,0,2301
Mesa,46.5737,-119.0013,503,0,503
Cavalero Corner,47.9782,-122.1349,,0,0
Lilliwaup,47.4634,-123.1143,,0,0
La Conner,48.3927,-122.4945,3475,0,3475
Sheridan Beach,47.7448,-122.2882,,0,0
Emden,47.1046,-118.1227,,0,0
Markham,46.9155,-123.9814,,0,0
Eltopia,46.4587,-119.0172,,0,0
Stevenson,45.6943,-121.8932,1555,0,1555
Greenwater,47.1465,-121.632,,0,0
Copalis Beach,47.1205,-124.1722,,0,0
Roosevelt,47.8923,-122.0123,,0,0
La Crosse,46.8014,-117.9026,324,0,324
Summit,47.1694,-122.3628,,0,0
Ohop,46.9457,-122.1907,,0,0
Malden,47.2296,-117.4731,209,0,209
Beverly,46.8368,-119.9331,,0,0
Prosser,46.2066,-119.7662,6264,0,6264
Lake Roesiger,47.9839,-121.9129,,0,0
Fern Prairie,45.637,-122.3963,,0,0
Maple Valley,47.366,-122.0369,25758,0,25758
Gifford,48.3063,-118.1464,,0,0
Auburn,47.3041,-122.211,80776,0,80776
Burton,47.389,-122.4607,,0,0
Kewa,48.201,-118.2786,,0,0
Carrolls,46.0715,-122.8623,,0,0
Bayne,47.2951,-121.9096,,0,0
East Cathlamet,46.1968,-123.358,,0,0
Purdy,47.3938,-122.6114,,0,0
Kapowsin,46.9727,-122.2272,,0,0
Ketron,47.1569,-122.6343,,0,0
Connell,46.6626,-118.8404,5360,0,5360
Lincoln,47.829,-118.415,,0,0
Clear Lake,48.4561,-122.2378,,0,0
Kittitas,46.9837,-120.4192,1491,0,1491
Bucoda,46.7968,-122.868,583,0,583
Ardenvoir,47.7373,-120.369,,0,0
Ellisport,47.4204,-122.4354,,0,0
Bainbridge Island,47.6439,-122.5434,24522,0,24522
Danville,48.9938,-118.5068,,0,0
Hazelwood,47.5509,-122.1915,,0,0
Holly,47.5576,-122.9785,,0,0
Valley,48.173,-117.7245,,0,0
Republic,48.6477,-118.7326,1062,0,1062
Odessa,47.3326,-118.6895,876,0,876
Edgewood,47.2309,-122.2832,11213,0,11213
Burlington,48.4677,-122.3298,8783,0,8783
Rice,48.4288,-118.1703,,0,0
Marengo,47.0257,-118.1886,,0,0
Cusick,48.3328,-117.2962,217,0,217
Virginia,47.7073,-122.6374,,0,0
Concrete,48.5371,-121.7512,729,0,729
Langley,48.0337,-122.4084,1124,0,1124
Othello,46.8222,-119.1651,12375,0,12375
North City,47.7557,-122.3135,,0,0
Hazel Dell,45.6797,-122.6553,,0,0
Colfax,46.9031,-117.3394,2811,0,2811
Metaline,48.854,-117.3899,178,0,178
Randle,46.5351,-121.957,,0,0
Millwood,47.6856,-117.2806,1784,0,1784
Snoqualmie Pass,47.4014,-121.411,,0,0
Bangor,47.7209,-122.746,,0,0
Thorp,47.0655,-120.6709,,0,0
Tahlequah,47.3326,-122.5073,,0,0
Prescott,46.2988,-118.3125,304,0,304
Buckley,47.1615,-122.02,4819,0,4819
Dalkena,48.2449,-117.2377,,0,0
Leland,47.8918,-122.8866,,0,0
Fruitvale,46.6179,-120.5531,,0,0
Port Hadlock,48.0318,-122.7582,,0,0
University Place,47.2148,-122.546,33401,0,33401
Morton,46.5575,-122.2815,1159,0,1159
Deep River,46.3521,-123.6984,,0,0
Elberton,46.9813,-117.2213,,0,0
Kingston,47.8014,-122.4989,,0,0
Silverton,48.0784,-121.5671,,0,0
Vader,46.4045,-122.9569,643,0,643
Donald,46.4737,-120.3923,,0,0
Miles,47.9107,-118.2925,,0,0
Asotin,46.3371,-117.0433,1295,0,1295
Joyce,48.1365,-123.7341,,0,0
Eagledale,47.6143,-122.5154,,0,0
Port Ludlow,47.9101,-122.7006,,0,0
Loomis,48.8235,-119.6398,,0,0
New London,47.0573,-123.9271,,0,0
Desert Aire,46.6873,-119.9311,,0,0
